Ngành,Số dự án cấp mới,Vốn đăng ký cấp mới (triệu USD),Số lượt dự án điều chỉnh,Vốn đăng ký điều chỉnh (triệu USD),Số lượt góp vốn mua cổ phần,"Giá trị góp vốn, mua cổ phần (triệu USD)",Năm
"Công nghiệp chế biến, chế tạo",955.0,8927.8,517.0,6305.4,0.0,0.0,2015
"Sản xuất, phân phối điện, khí, nước, điều hòa",9.0,2795.3,8.0,14.0,0.0,0.0,2015
Hoạt động kinh doanh bất động sản,34.0,2146.4,12.0,248.3,0.0,0.0,2015
Xây dựng,112.0,573.6,26.0,162.9,0.0,0.0,2015
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",306.0,375.2,89.0,166.8,0.0,0.0,2015
"Nông nghiêp, lâm nghiệp và thủy sản",18.0,160.0,14.0,107.5,0.0,0.0,2015
"Hoạt động chuyên môn, khoa học công nghệ",209.0,228.8,54.0,21.3,0.0,0.0,2015
Vận tải kho bãi,51.0,67.2,18.0,73.6,0.0,0.0,2015
Dịch vụ lưu trú và ăn uống,59.0,97.2,9.0,25.0,0.0,0.0,2015
Thông tin và truyền thông,164.0,65.5,40.0,30.8,0.0,0.0,2015
Hoạt động hành chính và dịch vụ hỗ trợ,25.0,57.3,6.0,-5.5,0.0,0.0,2015
Hoạt động dịch vụ khác,15.0,27.7,5.0,10.4,0.0,0.0,2015
Giáo dục và đào tạo,39.0,28.8,9.0,0.4,0.0,0.0,2015
Cấp nước và xử lý chất thải,3.0,2.2,3.0,15.4,0.0,0.0,2015
Y tế và hoạt động trợ giúp xã hội,10.0,11.3,2.0,2.0,0.0,0.0,2015
Khai khoáng,2.0,10.4,0.0,0.0,0.0,0.0,2015
"Nghệ thuật, vui chơi và giải trí",1.0,2.5,1.0,0.4,0.0,0.0,2015
"Hoạt động tài chính, ngân hàng và bảo hiểm",0.0,0.0,1.0,1.1,0.0,0.0,2015
Hoạt đông làm thuê các công việc trong các hộ gia đình,1.0,0.3,0.0,0.0,0.0,0.0,2015
"Công nghiệp chế biến, chế tạo",1020.0,9812.57,861.0,5132.55,290.0,593.51,2016
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",505.0,367.04,99.0,320.72,1269.0,1211.45,2016
Hoạt động kinh doanh bất động sản,59.0,1522.67,12.0,-559.05,80.0,722.55,2016
"Hoạt động chuyên môn, khoa học công nghệ",282.0,436.45,65.0,316.95,212.0,179.68,2016
Vận tải kho bãi,88.0,703.94,22.0,-29.0,119.0,207.19,2016
Xây dựng,124.0,388.51,47.0,56.21,131.0,165.68,2016
"Hoạt động tài chính, ngân hàng và bảo hiểm",12.0,511.02,1.0,0.01,32.0,71.38,2016
Cấp nước và xử lý chất thải,13.0,485.09,5.0,2.31,4.0,0.86,2016
Dịch vụ lưu trú và ăn uống,97.0,278.14,11.0,58.02,135.0,70.53,2016
Thông tin và truyền thông,195.0,103.12,46.0,233.22,120.0,32.94,2016
"Nghệ thuật, vui chơi và giải trí",2.0,210.59,6.0,118.13,4.0,1.08,2016
Hoạt động hành chính và dịch vụ hỗ trợ,58.0,45.51,12.0,23.83,68.0,91.02,2016
"Sản xuất, phân phối điện, khí, nước, điều hòa",2.0,127.23,3.0,3.02,1.0,2.18,2016
"Nông nghiêp, lâm nghiệp và thủy sản",12.0,44.4,14.0,34.91,9.0,20.17,2016
Khai khoáng,1.0,31.5,1.0,37.15,2.0,1.37,2016
Hoạt động dịch vụ khác,5.0,55.76,7.0,9.77,6.0,2.23,2016
Giáo dục và đào tạo,70.0,47.32,9.0,-0.22,56.0,13.35,2016
Y tế và hoạt động trợ giúp xã hội,10.0,11.24,3.0,2.67,9.0,38.17,2016
Hoạt đông làm thuê các công việc trong các hộ gia đình,1.0,0.15,1.0,3.9,0.0,0.0,2016
"Công nghiệp chế biến, chế tạo",932.0,6860.36,761.0,7271.27,1365.0,1744.36,2017
