Order,Country,Number of new projects,Newly registered capital (million USD),Adjusted project number,Adjusted capital (million USD),Number of times of capital contribution to buy shares,"Value of capital contribution, share purchase
(million USD)",Year
1,Korea,702,2678.517,260,4048.4,,,2015
2,Malaysia,27,2447.488,15,30.8,,,2015
3,Japan,299,1284.983,157,556.7,,,2015
4,Taiwan,110,940.404,61,457.9,,,2015
5,Samoa,24,1314.037,8,80.6,,,2015
6,United Kingdom,30,1265.681,5,5.1,,,2015
7,Singapore,130,1035.007,62,196.3,,,2015
8,BritishVirginIslands,52,697.815,29,521.4,,,2015
9,Hongkong,89,629.499,46,566.7,,,2015
10,China,169,665.519,31,69.3,,,2015
11,Turkey,2,660.250,,0.0,,,2015
12,Neitherland,24,279.336,12,54.7,,,2015
13,Seychelles,17,273.176,6,16.0,,,2015
14,Thailand,30,111.132,23,151.3,,,2015
15,Cayman Islands,6,246.717,3,11.6,,,2015
16,The United States of America,54,217.934,20,9.8,,,2015
17,Australia,35,47.071,12,154.1,,,2015
18,British West Indies,4,152.000,1,4.0,,,2015
19,Brunei Darussalam,18,100.858,10,50.7,,,2015
20,India,23,138.991,2,0.0,,,2015
21,Switzerland,9,75.206,3,27.0,,,2015
22,France,27,84.070,13,14.0,,,2015
23,Denmark,6,10.970,6,64.9,,,2015
24,Germany,18,46.842,9,27.4,,,2015
25,Sri Lanka,4,59.130,,0.0,,,2015
26,Luxembourg,6,7.229,3,20.3,,,2015
27,Indonesia,5,11.637,2,10.0,,,2015
28,Israel,2,16.350,1,2.0,,,2015
29,Italia,7,11.510,5,3.7,,,2015
30,Federal Republic of Russia,10,12.049,,0.0,,,2015
31,Angola,2,11.680,,0.0,,,2015
32,New Zealand,,,1,11.0,,,2015
33,Republic of Cyprus,,,1,6.4,,,2015
34,Canada,10,6.961,2,-0.9,,,2015
35,Philippines,4,5.450,,0.0,,,2015
36,Marshall Islands,1,5.000,,0.0,,,2015
37,Belize,,,1,5.0,,,2015
38,Ireland,5,4.820,,0.0,,,2015
39,Burkina Faso,1,3.000,,0.0,,,2015
40,Spain,10,2.619,,0.0,,,2015
41,Laos,2,2.500,,0.0,,,2015
42,Belgium,4,1.298,2,1.1,,,2015
43,Nauy,2,0.117,1,2.0,,,2015
44,Austria,3,2.114,,0.0,,,2015
45,Macao,1,2.000,,0.0,,,2015
46,Island of Nevis,1,1.500,,0.0,,,2015
47,United Arab Emirates,3,1.250,,0.0,,,2015
48,Guatemala,1,1.200,,0.0,,,2015
49,Jordan,2,1.050,,0.0,,,2015
50,Saudi Arabia,1,1.000,,0.0,,,2015
51,Ukraina,4,0.700,,0.0,,,2015
52,Mongolia,1,0.500,,0.0,,,2015
53,Sweden,4,0.464,,0.0,,,2015
