TT,Đối tác, Số dự án cấp mới , Vốn đăng ký cấp mới (triệu USD) , Số lượt dự án điều chỉnh ," Vốn đăng ký điều chỉnh
(triệu USD) ", Số lượt góp vốn mua cổ phần ," Giá trị góp vốn, mua cổ phần 
(triệu USD) ",Năm
1,Bắc Ninh,133,149.6,103,3500.2,,,2015
2,TP. Hồ Chí Minh,570,2811.7,199,512.3,,,2015
3,Bình Dương,200,2465.8,95,487.0,,,2015
4,Trà Vinh,2,2526.8,,,,,2015
5,Đồng Nai,103,1471.9,71,475.1,,,2015
6,Hà Nội,352,910.7,84,177.7,,,2015
7,Hải Phòng,45,573.1,26,237.7,,,2015
8,Bà Rịa - Vũng Tàu,11,326.3,13,406.1,,,2015
9,Long An,119,308.7,42,268.4,,,2015
10,Tây Ninh,16,502.9,5,25.3,,,2015
11,Hải Dương,28,269.9,19,137.3,,,2015
12,Bắc Giang,51,223.2,22,182.9,,,2015
13,Quảng Ninh,10,373.9,4,18.4,,,2015
14,Vĩnh Phúc,34,273.2,16,104.4,,,2015
15,Hà Nam,34,288.1,15,50.4,,,2015
16,Hưng Yên,34,270.1,15,59.6,,,2015
17,Bình Phước,21,91.9,11,164.4,,,2015
18,Quảng Nam,18,178.9,5,77.3,,,2015
19,Thái Nguyên,23,188.9,8,22.3,,,2015
20,Nghệ An,15,196.5,2,9.8,,,2015
21,Bến Tre,2,157.4,2,1.2,,,2015
22,Hà Tĩnh,9,116.0,1,41.3,,,2015
23,Thừa Thiên Huế,7,78.1,3,61.9,,,2015
24,Phú Thọ,12,87.6,4,5.6,,,2015
25,Tiền Giang,7,55.1,5,37.0,,,2015
26,Yên Bái,2,78.7,,,,,2015
27,Nam Định,13,67.2,1,11.0,,,2015
28,An Giang,8,67.2,1,1.6,,,2015
29,Bình Định,6,43.1,4,14.3,,,2015
30,Khánh Hòa,6,53.6,2,2.1,,,2015
31,Thái Bình,8,49.6,,,,,2015
32,Đà Nẵng,58,52.5,15,-8.3,,,2015
33,Thanh Hóa,7,44.0,,,,,2015
34,Ninh Bình,7,37.7,4,5.4,,,2015
35,Phú Yên,4,50.0,1,-10.0,,,2015
36,Kiên Giang,2,33.0,,,,,2015
37,Đăk Lăk,3,20.8,1,10.0,,,2015
38,Quảng Bình,3,12.2,1,15.4,,,2015
39,Bình Thuận,1,0.0,4,26.5,,,2015
40,Hậu Giang,,,1,25.0,,,2015
41,Quảng Ngãi,6,24.1,,,,,2015
42,Cần Thơ,5,17.9,,,,,2015
43,Vĩnh Long,4,12.8,,,,,2015
44,Đồng Tháp,1,0.2,2,10.2,,,2015
45,Lâm Đồng,5,7.6,1,1.5,,,2015
46,Sóc Trăng,1,6.0,,,,,2015
47,Bạc Liêu,,,3,5.7,,,2015
48,Tuyên Quang,,,2,5.4,,,2015
49,Hòa Bình,5,3.0,,,,,2015
50,Ninh Thuận,1,0.0,1,0.6,,,2015
51,Bắc Kạn,1,0.3,,,,,2015
52,TP. Hồ Chí Minh,836,1006.69,222,619.07,1935,1802.56,2016
53,Hải Phòng,52,2464.32,38,429.24,27,96.34,2016
54,Hà Nội,453,1922.76,159,504.47,228,367.21,2016
55,Bình Dương,256,1630.52,130,641.97,25,94.72,2016
56,Đồng Nai,91,1043.74,136,921.05,55,273.44,2016
57,Bắc Giang,53,937.51,20,71.06,10,1.46,2016
58,Bắc Ninh,185,578.64,130,271.49,24,49.87,2016
59,Long An,122,296.85,95,448.85,32,77.21,2016
60,Hà Nam,31,604.33,29,100.70,,,2016
61,Tây Ninh,24,273.87,25,427.57,,,2016
62,Phú Yên,2,159.22,1,95.50,4,307.06,2016
63,Quảng Ninh,10,517.74,,,8,37.89,2016
64,Bà Rịa - Vũng Tàu,18,259.62,13,201.93,15,70.18,2016
65,Hải Dương,29,129.59,27,242.15,11,44.01,2016
66,Tiền Giang,14,388.48,10,25.00,3,1.05,2016
67,Hưng Yên,42,313.80,33,60.18,15,18.41,2016
68,Hà Tĩnh,9,244.84,2,133.47,3,12.95,2016
69,Vĩnh Phúc,30,274.12,18,103.31,18,11.85,2016
70,Nam Định,14,259.15,12,23.22,4,21.98,2016
71,Trà Vinh,7,256.50,,,,,2016
72,Cần Thơ,8,225.99,1,1.12,3,14.00,2016
73,Thanh Hóa,15,163.76,11,69.60,1,0.04,2016
74,Phú Thọ,13,95.87,17,102.31,1,0.69,2016
75,Thái Nguyên,23,132.20,15,24.69,8,7.46,2016
76,Vĩnh Long,7,136.66,3,6.30,,,2016
77,Quảng Nam,18,122.89,4,14.96,1,0.02,2016
78,Bình Phước,20,50.62,18,54.59,,,2016
79,Đà Nẵng,74,78.02,11,-10.04,33,29.29,2016
80,Ninh Bình,5,89.24,2,0.94,,,2016
81,Ninh Thuận,3,71.52,3,14.10,3,2.68,2016
82,Bình Định,10,81.99,1,2.61,2,0.68,2016
83,Nghệ An,9,72.49,,,,,2016
84,Hậu Giang,,,2,70.00,,,2016
85,Khánh Hòa,8,6.32,4,39.20,49,22.53,2016
86,Thái Bình,9,32.93,4,13.74,4,7.36,2016
87,Tuyên Quang,,,2,38.98,3,5.68,2016
